Título,Puesto,Expertise,Empresa,Modalidad,Sector,Ubicación,Descripción,Servicios,Otro Idioma,EntornoTEC,Beneficios,Habilidades,Herramientas,Educación
data scientist services,Data Scientist,Regular,Santander,,Digital,Madrid,"Una empresa innovadora busca un Data Scientist apasionado por la tecnología y el análisis de datos. En este rol clave, serás responsable de analizar y transformar información para mejorar resultados comerciales y contribuir a proyectos con impacto social. Trabajarás en un entorno dinámico y proactivo, utilizando metodologías Agile y herramientas modernas. Además, disfrutarás de un modelo híbrido de trabajo, flexibilidad horaria, y oportunidades de desarrollo internacional. Si tienes un espíritu crítico y ganas de aprender, esta es tu oportunidad para crecer en una organización que valora la igualdad y la innovación.","['Flexibilidad horaria Formación continua Oportunidades internacionales Trabajo en equipo dinámico Posibilidad de viajar', ' Data Science Análisis de datos Modelos predictivos Visualización de datos Estadística Inglés (B2) Herramientas ofimáticas Pensamiento analítico', ' Grado superior', ' Herramientas de visualización Herramientas de análisis de datos']",,,,Data Science,,Grado
data scientist services,Data Scientist,Regular,Santander,,Digital,Madrid,"Un innovador banco busca un Data Scientist apasionado por la tecnología y el análisis de datos. En esta emocionante posición, tendrás la oportunidad de impactar la vida de millones de clientes mediante la creación de modelos predictivos y la visualización de datos. Trabajarás en un entorno colaborativo, utilizando herramientas modernas y principios de diseño para ofrecer soluciones de alta calidad. Además, disfrutarás de un modelo híbrido de trabajo que te permitirá equilibrar tu vida profesional y personal, así como oportunidades de desarrollo internacional. Si eres proactivo y te encanta aprender, esta es tu oportunidad para brillar en un entorno dinámico y desafiante.","['Flexibilidad horaria Oportunidades internacionales Formación continua Modelo híbrido de trabajo Posibilidad de viajar', ' Data Science Análisis de datos Modelos predictivos Visualización de datos Estadística Inglés (nivel B2) Integración y gestión de datos Pensamiento analítico', ' Grado superior', ' Herramientas ofimáticas']",,,,Data Science,,Grado
senior data scientist,Data Scientist,Senior,,,,Madrid,Sin descripción,[],,,,,,
senior data scientist,Data Scientist,Senior,,,,Madrid,"Join an innovative team as a Senior Data Scientist, where your expertise in graph-based data analysis and computer vision will drive cutting-edge solutions. This role involves developing advanced machine learning models and collaborating with talented professionals across various domains. You'll tackle complex challenges, process 3D LIDAR data, and apply your knowledge of deep learning architectures to create impactful algorithms. The company fosters a collaborative and flexible work environment, providing opportunities for professional growth and a chance to work on global projects. If you're passionate about technology and eager to make a difference, this is the perfect opportunity for you.","['Flexible work schedule Home-office options Learning and development opportunities23 holiday days per year5 additional days (readjustment)Relocation assistance to Madrid', ' Graph-based data analysis Computer vision Object detection 3D L I D A R point cloud data Deep learning architectures Machine learning algorithms Python programming Big data technologies', ' Ph.D. in Computer Science or related field Master’s degree in Computer Science or related field', ' Tensor Flow Py Torch Open C V Neo4j P C L Open3D Azure Git']",,,,"data analysis, Deep learning, Machine learning","R, Python, Azure",
senior data scientist nlp,Data Scientist,Senior,,,,Madrid,"Join a forward-thinking company as a Data Scientist and shape the future of healthcare through innovative data science solutions. In this role, you will leverage your expertise in Natural Language Processing and Generative AI to develop impactful analytical products. You will work within agile teams, collaborating with key stakeholders to identify business needs and deliver high-value insights. This dynamic position offers the opportunity to be at the forefront of healthcare innovation, utilizing cutting-edge technologies to enhance patient care. If you're passionate about data science and eager to make a difference, this role is perfect for you.","[' Natural Language Processing Python Programming Machine Learning Generative A I Data Storytelling Cloud Platforms (A W S, Azure) Data Visualization Tools Statistical Analysis', ' M.Sc. or Ph D in Computer Science Degree in Physics, Statistics, or Mathematics', ' N L P Libraries (transformers, spa Cy) Py Torch Docker Hugging Face']",,,,"Machine Learning, Data Storytelling, Data Visualization, Statistical Analysis","Python, Azure, Docker",Computer Science Degree
data scientist,Data Scientist,Regular,,,,Madrid,Sin descripción,[],,,,,,
data scientist hibrido,Data Scientist,Regular,,,,Madrid,"Una empresa innovadora busca un Data Scientist apasionado que se encargue de la administración de herramientas de monitoreo. En esta emocionante posición, serás responsable del mantenimiento de Jupyter Notebooks, así como de la creación y monitoreo de procesos automáticos utilizando Airflow. Con un enfoque en el análisis de datos y la modelización, tendrás la oportunidad de trabajar con tecnologías avanzadas como Python y Pyspark. La posición ofrece un entorno híbrido, permitiendo un equilibrio entre trabajo remoto y presencial, ideal para aquellos que buscan flexibilidad y un impacto significativo en proyectos de datos. ¡Únete a este equipo dinámico y lleva tu carrera al siguiente nivel!","[' Python Pyspark Postgre S Q L Power B I Estadística y Probabilidad', ' Estudios en Matemáticas Estudios en Física Estudios en Ingeniería Estudios en Estadística', ' Jupyter Notebooks Airflow']",,,,,"Python, Pyspark, Jupyter Notebooks",
data scientist analytics engineer,Data Scientist,Regular,VIE,,,Madrid,"Rejoignez une équipe dynamique chez M13h, où vous aurez l'opportunité de travailler sur des projets passionnants à la croisée de la data science et du marketing. En tant que Data Scientist / Analytics Engineer, vous serez impliqué dans l'analyse et la modélisation des données, la mise en place de flux de données modernes, et la création de dashboards pour optimiser les performances des clients. Ce rôle vous permettra de développer vos compétences en data tout en étant encadré par des experts. Si vous êtes passionné par la data et souhaitez relever des défis dans un environnement bienveillant, cette opportunité est faite pour vous.","['Formations Mentorat Accès à des ressources partenaires', ' S Q L Data Analysis Data Engineering Python Cloud Platforms (G C P/A W S/Azure/Snowflake) dbt', "" Grande École de Commerce École d'Ingénieurs"", ' E L T Tools Business Intelligence Tools']",,Analytics,,"Data Analysis, Business Intelligence","Python, Azure, Snowflake",
data scientist,Data Scientist,Regular,,,,Madrid,"An innovative fintech startup is on the lookout for an experienced data scientist to join their dynamic team. In this exciting role, you will leverage your statistical expertise to mine and interpret data, uncovering valuable insights that drive business decisions. You'll collaborate closely with product design and engineering teams, utilizing your creativity to devise innovative statistical models and implement analytical solutions. This is a unique opportunity to work in a full-remote environment or from a vibrant office in the heart of Madrid, all while enjoying a flexible and supportive work culture that values your professional growth and well-being.","['Flexible working hours Paid private healthcare23 vacation days Team building offsite meetings English one-to-one classes Flexible pay for expenses Work from anywhere', ' Data Mining Statistical Analysis Predictive Modeling Pattern Recognition Excel S Q L Python S A S Power Point', ' Bachelor’s degree in Statistics Master’s degree in Statistics', ' Tableau Excel S Q L Python']",,,,"Statistical Analysis, Predictive Modeling","Excel, Python, Tableau, Excel, Python",
senior data scientist,Data Scientist,Senior,,,,Madrid,"Join a forward-thinking company as a Senior Data Scientist where you will lead innovative projects that drive business growth. This role involves overseeing the entire data science model lifecycle, from data analysis to cloud deployment. You will work closely with business partners to provide actionable insights and support data projects from ideation to execution. Collaborate with a talented team in a dynamic environment, utilizing cutting-edge technologies like Generative AI and deep learning. If you are passionate about leveraging data to fuel innovation and thrive in a collaborative setting, this opportunity is perfect for you.","[' Python Machine Learning Deep Learning Data Analysis Cloud Platforms Generative A I Predictive Analytics Statistical Analysis', "" Ph D in Computer Science, Statistics, Mathematics, or Data Science Master's in Computer Science, Statistics, Mathematics, or Data Science"", ' Py Torch Tensor Flow Scikit-Learn Microsoft Azure Docker Kubernetes']",,,,"Machine Learning, Deep Learning, Data Analysis, Statistical Analysis, Data Science, Data Science","Python, Scikit-Learn, Azure, Docker",
data scientist quantumblack ai by,Data Scientist,Regular,Mckinsey,,,Madrid,"Join a forward-thinking company as a Data Scientist, where you'll collaborate with a talented team of data professionals to tackle complex challenges across various industries. This role offers the opportunity to influence client recommendations, develop innovative data science products, and contribute to impactful research. You'll gain hands-on experience with cutting-edge technologies like Python, TensorFlow, and cloud solutions while working in a multi-disciplinary environment. If you're passionate about using data to drive real-world change and eager to learn from industry leaders, this position is perfect for you.","[' Python Py Spark Tensor Flow Py Torch S Q L Airflow Databricks Docker Kubernetes A W S G C P Azure', "" Degree in Data Science or related field Advanced degree (Master's or Ph D) preferred"", ' Data Science Toolbox Machine Learning frameworks Visualization tools']",,,,"Data Science, Data Science, Machine Learning","Python, Databricks, Docker, Azure",
data scientist analytics engineer,Data Scientist,Regular,VIE,,,Madrid,"Rejoignez une équipe dynamique en tant que Data Scientist / Analytics Engineer, où vous aurez l'opportunité de plonger dans le monde fascinant de la data appliquée au marketing. Vous serez impliqué dans des projets variés, allant de la création de modèles d'attribution à la construction de Customer Data Platforms pour des grands retailers. Ce rôle polyvalent vous permettra de travailler avec des stacks de données modernes et de collaborer avec des experts tout en développant vos compétences. Si vous êtes passionné par l'analyse de données et que vous souhaitez évoluer dans un environnement bienveillant, cette opportunité est faite pour vous.","['Formations Accompagnement par un parrain ou marraine Accès à des ressources partenaires Environnement de travail bienveillant', ' S Q L Python Data Analysis Data Modeling Cloud Platforms (G C P/A W S/Azure/Snowflake) E L T Tools Data Visualization Dashboard Creation', "" Diplôme d'une grande école de commerce ou d'ingénieurs"", ' dbt Supermetrics Adverity Big Query']",,Analytics,,"Data Analysis, Data Visualization","Python, Azure, Snowflake",
data scientist senior r66,Data Scientist,Senior,,,,Madrid,"Una consultora de Ingeniería y Tecnología busca un/a Data Scientist Senior para unirse a su equipo de forma indefinida y 100% remoto. En esta emocionante posición, serás responsable de extraer valor de grandes volúmenes de datos, desarrollando modelos predictivos que ayuden a las organizaciones a tomar decisiones informadas. Con un enfoque en el análisis crítico y la documentación técnica, tendrás la oportunidad de trabajar con tecnologías de vanguardia y ser parte de un equipo joven y dinámico. Si tienes pasión por la ciencia de datos y deseas crecer profesionalmente en un entorno innovador, esta es la oportunidad perfecta para ti.","['Seguro médico gratuito Planes de formación personalizados Retribución flexible Descuentos en viajes y tecnología Precios reducidos en fitness y nutrición Jornada intensiva de verano Regalos de bienvenida y aniversario23 días de vacaciones Flexibilidad de inicio de jornada Incentivo por recomendaciones', ' Desarrollo de modelos predictivos Machine Learning Python Análisis de datos S Q L N L P Cloud (Azure, Databricks) Scrum / Agile', ' Título en Ciencias de la Computación o campo relacionado', ' Pandas Numpy Matplotlib Seaborn Tensor Flow Keras Apache Spark Flask Fast A P I Dash']",,,,Machine Learning,"Python, Azure, Databricks, Keras",
llms data scientist,Data Scientist,Regular,,,,Madrid,"Una innovadora empresa de tecnología busca un Data Scientist apasionado por el machine learning y los modelos de lenguaje. En esta emocionante posición, tendrás la oportunidad de trabajar con un partner de Microsoft en proyectos de inteligencia artificial, contribuyendo a la transformación digital de diversas industrias. Ofrecemos un entorno de trabajo flexible y remoto, donde tu creatividad y habilidades en Python, NLP y frameworks de machine learning serán clave para el éxito. Si estás listo para llevar tu carrera al siguiente nivel y hacer una diferencia en el mundo de la tecnología, esta es tu oportunidad.","['Modalidad de trabajo 100% remoto Certificaciones y cursos de Azure Ambiente laboral positivo Proyectos internacionales Bono del 10%', ' Machine Learning Python Natural Language Processing (N L P) Tensor Flow Py Torch Keras Langchain Azure Open A I Docker Agile Methodologies', ' Grado en Ciencias de la Computación Máster en Inteligencia Artificial', ' Azure Machine Learning Studio M L.N E T Databricks Power B I']",,,,"Machine Learning, Machine Learning","Azure, Python, Keras, Azure, Docker, Azure, Databricks",Grado
data scientist,Data Scientist,Regular,,,,Madrid,"Una empresa innovadora busca un Data Scientist apasionado por la inteligencia artificial para liderar proyectos que impulsen la tecnología hacia un futuro sostenible. En esta posición, tendrás la oportunidad de diseñar y desarrollar soluciones utilizando Machine Learning y Deep Learning, mientras gestionas datos y lideras equipos técnicos. La flexibilidad y la conciliación entre la vida personal y profesional son clave, permitiéndote crecer y aprender en un entorno diverso y ético. Si buscas un lugar donde tu trabajo cuente y puedas hacer una diferencia, esta es la oportunidad perfecta para ti.","['Flexibilidad horaria Beneficios fiscales Oportunidades de formación Diversidad e inclusión', ' Python R Machine Learning Deep Learning Computer Vision Data Manipulation Team Leadership Proactivity', ' Grado en Informática Ph D o Máster en ciencias de computación', ' Tensor Flow Py Torch Scikit-learn Open C V Databricks Docker Kubernetes Power B I']",,,,"Machine Learning, Deep Learning","Python, R, Scikit-learn, Databricks, Docker",Grado
data scientist,Data Scientist,Regular,,,,Madrid,"Una empresa líder en soluciones de inteligencia artificial busca un Data Scientist apasionado por el aprendizaje automático y el procesamiento del lenguaje natural. En esta posición 100% remota, tendrás la oportunidad de trabajar en proyectos innovadores, utilizando herramientas de vanguardia como Langchain y LLMs. Ofrecemos un ambiente de trabajo flexible con un contrato indefinido y formación continua a cargo de la empresa. Si tienes al menos 3 años de experiencia y un buen nivel de inglés, esta es tu oportunidad para unirte a un equipo dinámico y contribuir a proyectos que están a la vanguardia de la tecnología.","['Horario flexible100% remoto Jornada intensiva en Julio y Agosto27 días laborables de vacaciones Formación a cargo de la empresa', ' Data Science Machine Learning Python N L P L L Ms Langchain Inglés (B2/C1)']",,,,"Data Science, Machine Learning",Python,
data scientist,Data Scientist,Regular,,,,Madrid,Sin descripción,"['Salario competitivo Beneficios sociales Bonos Flexibilidad horaria Plan de carrera', ' Python R Pandas Numpy Scikit-learn Spark Framework Deep Learning Machine Learning']",,,,"Deep Learning, Machine Learning","Python, R, Scikit-learn",
gdfct data scientist focus on for demand forecasting,Data Scientist,Regular,,,Genai,Madrid,"Join a forward-thinking company that is a leader in digital solutions for the chemical industry. This role focuses on developing innovative AI-driven solutions to enhance supply chain management globally. You will work closely with project teams to translate business needs into technical concepts, driving the implementation of cutting-edge applications. With a strong emphasis on collaboration, creativity, and agile methodologies, you will be part of a vibrant team that values diversity and innovation. If you are passionate about data science and AI, this is your chance to make a significant impact in a dynamic environment.","[' Data Science Machine Learning Python Microsoft Azure Agile Methodologies Communication Skills Data Engineering Gen A I Architecture', "" Bachelor's in Computer Science Master's in Data Science"", ' Azure Dev Ops Databricks S Q L']",,,,"Data Science, Machine Learning, Data Science","Python, Azure, Azure, Databricks",
senior data scientist,Data Scientist,Senior,,,,Madrid,"Una empresa innovadora busca un analista de datos con más de 5 años de experiencia en el sector de investigación de mercados y publicidad. Este rol clave implica transformar datos en insights valiosos, optimizar campañas y apoyar en la toma de decisiones estratégicas. Si tienes un perfil analítico, te apasiona trabajar con datos y deseas contribuir a un entorno dinámico, esta es tu oportunidad. Únete a un equipo que valora la curiosidad y la comunicación efectiva, y ayuda a dar forma al futuro de la comunicación y la publicidad.","[' Análisis de datos Comunicación efectiva Conocimiento de herramientas de medición Capacidad analítica Uso de R o Python Excel avanzado', ' Licenciatura en Matemáticas Licenciatura en Estadística Licenciatura en Investigación de Mercados Ingeniería o Economía', ' Google Analytics Comscore Kantar Galileo/Tom Micro']",,,,,"R, Python, Excel, Google Analytics","Licenciatura, Licenciatura, Licenciatura"
data scientist,Data Scientist,Regular,,,,Madrid,"Join a forward-thinking company where you'll leverage your data science expertise to tackle complex challenges. In this role, you'll lead initiatives that drive insights from high-dimensional data, utilizing cutting-edge techniques like CNNs, RNNs, and advanced clustering algorithms. Collaborate with a diverse team of innovators dedicated to pushing the boundaries of what's possible. This is your opportunity to make a significant impact in the world of applied analytics, working on solutions that address some of the toughest problems faced today. If you're passionate about data and eager to contribute to groundbreaking projects, this position is perfect for you.","[' Clustering algorithms Convolutional Neural Networks (C N N) Recurrent Neural Networks (R N N) Transformers Graph Neural Networks (G N N) Bayesian graphical models Deep Autoencoders Machine reasoning techniques Reinforcement learning Generative A I Python programming Machine learning frameworks (Py Torch, Tensorflow, Keras, scikit-learn) Data Visualization', ' Jupyter Hub Distributed data pipelines']",,,,"Neural Networks, Neural Networks, Neural Networks, Machine learning, Data Visualization","R, Python, Tensorflow, Keras, scikit-learn",
senior data scientist,Data Scientist,Senior,,,,Madrid,"Una agencia innovadora busca un profesional apasionado por los datos y el análisis para transformar información en insights valiosos. En este papel, tendrás la oportunidad de desarrollar análisis que optimicen campañas publicitarias y apoyen decisiones estratégicas de comunicación. Si tienes más de 5 años de experiencia en el sector y una sólida formación en matemáticas o estadísticas, este es el lugar donde podrás crecer y hacer una diferencia real. Ofrecemos un entorno híbrido que fomenta la colaboración y la creatividad, ideal para aquellos que desean dejar su huella en el mundo de la publicidad.","[' Análisis de datos Medición de eficacia Excel Comunicación efectiva Conocimiento de herramientas de medición R o Python Curiosidad Capacidad analítica', ' Licenciatura en Matemáticas Licenciatura en Estadística Licenciatura en Investigación de Mercados Ingeniería Economía', ' Google Analytics Comscore Kantar Galileo/Tom Micro Plataformas digitales']",,,,,"Excel, R, Python, Google Analytics","Licenciatura, Licenciatura, Licenciatura"
data scientist spain,Data Scientist,Regular,,,,Madrid,"An innovative firm is seeking a skilled Data Scientist to transform complex spatial data into actionable insights. In this role, you'll leverage your expertise in Python, Azure, and machine learning to analyze data patterns and trends that drive business improvements. You'll work collaboratively with global teams, sharing insights that shape strategic decisions. This position offers a unique blend of flexibility, allowing you to balance work and life while contributing to cutting-edge mapping technologies. Join a diverse and inclusive team dedicated to engineering the world's most trusted maps, and help redefine how people navigate their environments.","['Personal Development Budget Paid Learning Days Flexible Work Hours Setup Budget for Home Office Extra Day Off for Birthday Annual Hackathon Events Paid Leave for Caregiving Work from Home Options Inclusive Global Culture', ' Python Machine Learning S Q L Data Visualization Azure Spark Statistical Knowledge Data Analysis', ' University Degree in Computer Science Mathematics or Statistics', ' Azure Databricks Py Spark']",,,,"Machine Learning, Data Visualization, Data Analysis","Python, Azure, Azure, Databricks",
cybersecurity data scientist,Data Scientist,Regular,,,,Madrid,"Join a forward-thinking company as a Penetration Testing Engineer in the Cybersecurity R&D Team. You'll play a crucial role in shaping the future of information security technologies, focusing on pentesting automation and vulnerability management. This dynamic role involves leveraging your expertise in AI and machine learning to develop innovative cybersecurity solutions across various verticals. With a focus on collaboration and technical excellence, you will help drive the team towards building cutting-edge models and solutions that address real-world cybersecurity challenges. If you are passionate about technology and eager to make a significant impact, this opportunity is perfect for you.",[' Artificial Intelligence Machine Learning Deep Learning Data Science Reinforcement Learning Python Keras Pandas Tensor Flow Pytorch Git Jenkins J I R A Confluence Nexus Bitbucket cybersecurity concepts Kubernetes security Dev Sec Ops methodologies data modelling distributed systems'],,,,"Machine Learning, Deep Learning, Data Science","Python, Keras, Pytorch, R",
data scientist,Data Scientist,Regular,,,,Madrid,Sin descripción,[],,,,,,
data scientist 2021,Data Scientist,Regular,,,,Madrid,"Una empresa emergente en el sector fintech está buscando un Data Scientist talentoso para unirse a su equipo en Madrid. Si tienes de 1 a 3 años de experiencia en la gestión del ciclo de datos y un sólido conocimiento de R y Python, esta es tu oportunidad. Te encargarás de desarrollar algoritmos para la evaluación de riesgos y mejorar herramientas de inteligencia de negocio. En un entorno de trabajo dinámico, podrás implementar nuevas soluciones utilizando metodologías ágiles como Sprint y Scrum. Además, tendrás la oportunidad de crecer profesionalmente en una firma en expansión, con una remuneración competitiva acorde a tu experiencia y habilidades. ¡Únete a un equipo innovador y marca la diferencia en el mundo fintech!","[' R Python Estadística aplicada Minería de datos Analítica avanzada Técnicas y algoritmos estadísticos Inglés alto', ' My S Q L S Q L Server Mongo D B']",,,,,"R, Python",
data scientist unidad editorial,Data Scientist,Regular,,,,Madrid,Sin descripción,"[' Python Py Spark Google Cloud (Dataproc, Big Query, Vertex A I, Composer/Airflow) S Q L Git Visualización (Qliksense/Looker/Tableau) Publicidad digital Google Analytics', ' Título universitario en ingeniería Título universitario en matemáticas Título universitario en estadística Título universitario en física Título universitario en informática', ' Google Cloud Qliksense Looker Tableau']",,,,,"Python, Tableau, Google Analytics, Tableau",
data engineer,Data Engineer,Regular,,,,Madrid,"Una empresa innovadora en el sector e-learning busca un Data Engineer apasionado por los datos y la tecnología. En este emocionante rol, tendrás la oportunidad de trabajar con herramientas de vanguardia en Google Cloud Platform, desarrollando procesos ETL y modelando datos para mejorar la comunicación en inglés a nivel empresarial. Con un enfoque en la colaboración y el aprendizaje continuo, disfrutarás de un ambiente de trabajo flexible que fomenta la creatividad y el crecimiento profesional. Si buscas un desafío en un equipo dinámico que valora la proactividad y la innovación, esta es la oportunidad perfecta para ti.","['26 días de vacaciones Tarjeta de retribución flexible Formación ilimitada en inglés Día libre en tu cumpleaños Eventos de team building Mesa de ping pong en la oficina', ' Python S Q L Google Cloud Platform (G C P) E T L Development A P I Integration Data Modeling Data Science Techniques', "" Bachelor's degree in Computer Science or related field"", ' Big Query Dataform/dbt Dashboarding Tools Jira']",,,,Data Science,Python,Bachelor's degree
data scientist junior,Data Scientist,Junior,,,,Madrid,"Una empresa innovadora está en busca de un Data Scientist Junior apasionado por el Machine Learning. En este emocionante rol, tendrás la oportunidad de trabajar en proyectos desafiantes que utilizan las últimas tecnologías de IA. Serás parte de un equipo multidisciplinario donde tu creatividad y habilidades analíticas serán clave para desarrollar soluciones impactantes. Además, disfrutarás de un entorno de trabajo remoto, un salario competitivo y beneficios atractivos que fomentan el crecimiento profesional. Si te entusiasma la idea de contribuir a proyectos que transforman la industria, esta es tu oportunidad para brillar.","['Día libre por cumpleaños Formación continua Oportunidades de crecimiento y desarrollo profesional Plan de retribución flexible Acceso ilimitado a plataforma de formación Clases para mejorar tu inglés Eventos de teambuilding Incentivo por traer nuevos compañeros Bonus por clientes traídos25 días de descanso', ' Programación en Python Data Science Machine Learning Análisis Exploratorio de Datos Comunicación Oral y Escrita Trabajo en Equipo', ' Licenciatura en Ciencias de Datos o campo relacionado', ' Herramientas de Machine Learning Plataformas de formación']",,,,"Data Science, Machine Learning, Machine Learning",Python,Licenciatura
data science specialist,Data Specialist,Regular,,,,Madrid,"Una innovadora agencia busca un especialista en ciencia de datos para unirse a su equipo dinámico. En esta emocionante posición, tendrás la oportunidad de trabajar con datos, realizando análisis estadísticos y creando sistemas de predicción que mejoren la calidad del servicio ofrecido a los clientes. Se valorará tu capacidad para colaborar con equipos multifuncionales y tu experiencia en modelización y análisis de datos. Si te apasiona el trabajo con datos y buscas un entorno que fomente el crecimiento y la innovación, esta es la oportunidad perfecta para ti.","[' Modelización estadística Aprendizaje automático Análisis de datos Visualización de datos S Q L R Excel', ' Ciencias Matemáticas Ingeniería de Datos Estadística', ' Power B I Google Analytics Comscore']",,,,,"R, Excel, Google Analytics",
data engineer,Data Engineer,Regular,,,,Madrid,"Una empresa innovadora busca dos talentosos Data Engineers para unirse a su equipo en Madrid. Esta emocionante oportunidad involucra el diseño e implementación de arquitecturas de datos eficientes, el desarrollo de soluciones en Python y la creación de pipelines de datos utilizando REST y SOAP APIs. Con un ambiente colaborativo y dinámico, tendrás la oportunidad de trabajar en proyectos innovadores y contribuir a la evolución de la tecnología de datos. Si tienes experiencia en el manejo de datos y deseas formar parte de un equipo que valora la creatividad y la innovación, esta es la oportunidad perfecta para ti.",[' Python R E S T A P Is S O A P A P Is Git C I/C D S Q L Spark Data Streaming Data Architecture Data Modeling'],,,,,"Python, R",
senior data engineer,Data Engineer,Senior,,,,Madrid,"Una empresa de retail líder en su sector busca un/a Senior Data Engineer apasionado por los datos. En esta emocionante posición, serás responsable de garantizar la calidad de los datos y de implementar procesos automatizados que transformen datos en bruto en información valiosa para el análisis de negocio. Con un enfoque en la innovación y la mejora continua, tendrás la oportunidad de trabajar en un entorno dinámico y en constante evolución. Si deseas dar un salto en tu carrera y contribuir a proyectos significativos en el sector, esta es tu oportunidad ideal.","['Contrato indefinido Salario competitivo', ' S Q L Programación Control de calidad de datos Generación de informes', ' Matemáticas Física Ingeniería']",,,,,,
junior machine learning engineer,Machine Learning Engineer,Junior,,,,Madrid,Sin descripción,[],,,,,,
455 phd investigador de datos phd data researcher,Other,Regular,,,,Madrid,"Una institución educativa de renombre busca un experto en informática biomédica y biología computacional. Esta posición ofrece la oportunidad de trabajar en proyectos innovadores que combinan inteligencia artificial y análisis de redes sociales en el ámbito de la salud. Se requiere un doctorado y un sólido conocimiento en biostatística, así como un excelente nivel de inglés. La colaboración en investigaciones de alto impacto y la participación en congresos nacionales e internacionales son parte integral del rol. Si estás listo para contribuir al avance de la ciencia y la educación en un entorno académico dinámico, esta es la oportunidad perfecta para ti.","[' Informática biomédica Biología computacional Inteligencia artificial Aprendizaje automático Representación de conocimiento Web semántica Análisis de redes sociales Docencia', ' Doctorado en Software, Sistemas y Computación Máster en Bioestadística Licenciatura en Biología - Itinerario en Biología Sanitaria']",,,,,,Licenciatura
data content researcher,Other,Regular,,,,Madrid,"An established industry player is seeking a Data Content Researcher to enhance portfolio analytics and drive operational excellence. This role involves collaborating with global teams to manage portfolio data initiatives, particularly in response to evolving regulations like Solvency II and Basel III. The ideal candidate will leverage their finance knowledge and relationship management skills to create processes that support client needs and improve operational efficiency. Join a dynamic team in a hybrid work environment that values collaboration and flexibility, while making a significant impact on flagship EMEA business initiatives.","['Flexible Work Environment Remote Work Options Collaborative Tools Training and Development Opportunities', ' Financial Concepts S Q L Python Relationship Management Continuous Improvement K P I Monitoring Communication Skills Interpersonal Skills', "" Bachelor's Degree"", ' Software Tools']",,,Remote Work,,Python,Bachelor's Degree
data science consultant,Consultant,Regular,,,,Madrid,"An established industry player offers a unique opportunity for recent graduates and final year students in quantitative fields. This role involves working on high-profile consulting projects for leading organizations, focusing on data mining, predictive modeling, and quantitative support. With a commitment to ongoing training and a clearly defined career plan, you will be part of a dynamic team that values talent development and offers numerous opportunities for professional growth. If you are eager to learn and thrive in a collaborative environment, this is the perfect chance to kickstart your career in a vibrant and supportive setting.","['Ongoing training plan Career development opportunities Community support activities Sports Club access', ' Modeling techniques (logit, G L M, time series, decision trees, random forests, clustering) Statistical programming languages (S A S, R, Python, Matlab) Big data tools and platforms (Hadoop, Hive) Strong computer skills Ability to learn quickly Team integration', "" Bachelor's degree in Mathematics, Physics, Statistics, Econometrics Master's degree Postgraduate studies in Data Science or Quantitative Finance""]",,,,Data Science,"R, Python","Bachelor's degree, Master's degree"
data engineer,Data Engineer,Regular,,,,Madrid,"Join a forward-thinking company at the forefront of generative AI tools for finance. As a Data Engineer, you'll design and maintain robust data pipelines, ensuring scalability and efficiency. This role offers the chance to work with cutting-edge technologies and contribute to a transformative platform that revolutionizes financial decision-making. With a focus on collaboration and continuous learning, you'll thrive in a dynamic environment surrounded by a diverse team. If you're passionate about data and innovation, this opportunity is perfect for you.","['Ongoing training support Collaborative environment Diversity and inclusion Growth opportunities Flat hierarchy Cultural activities in Madrid', ' Python Java C I/C D Docker A W S Agile/Scrum Apache Airflow Elasticsearch Problem-solving Communication', "" Bachelor's degree in Computer Science Engineering degree"", ' Spring Boot Kubernetes Apache Spark A W S Lambda']",,,,,"Python, Docker","Bachelor's degree, Engineering degree"
senior data engineer data platform engineering,Data Engineer,Senior,,,Fintech,Madrid,"An innovative fintech company is seeking a Senior Data Engineer to enhance their data platform. This role involves building and optimizing data pipelines, collaborating with data scientists and analysts, and implementing best practices for data governance. The ideal candidate will have strong SQL and Python skills, along with experience in data warehousing and ETL processes. Join a diverse team dedicated to fostering an inclusive workplace while driving impactful data initiatives. If you are passionate about data and eager to make a difference, this opportunity is perfect for you!","['Competitive salary Equity process through performance bonus Annual paid time off Training and certification opportunities Diverse technology team Open Source contributions encouraged', ' S Q L Python Data Warehousing Data Governance Dimensional Modelling Data Quality E T L Processes', "" Bachelor's Degree in Computer Science or related field"", ' Google Cloud Platform Apache Airflow Docker dbt Looker Git Hub Jira Synq']",,,,Data Governance,"Python, Docker",Bachelor's Degree
master data specialist with english,Data Specialist,Senior,,,,Madrid,"Una empresa dinámica en el sector automotriz busca un Especialista en Datos Maestros para unirse a su equipo colaborativo. En esta emocionante posición, serás responsable de mantener la integridad de los datos y de identificar mejoras en los procesos. Ofrecemos un entorno de trabajo vibrante con oportunidades de desarrollo profesional y un sistema híbrido que permite hasta 2 días de trabajo desde casa. Si buscas una oportunidad que te brinde experiencia valiosa en una industria líder, ¡te animamos a postularte!","['Salario fijo + beneficios sociales Horario flexible Ambiente colaborativo Oportunidades de desarrollo profesional', ' Gestión de datos maestros Integridad de datos Mejora de procesos Asistencia a usuarios de E R P Documentación de datos', ' Sistemas E R P']",Inglés,,,,"R, R",
